job,case,n,K,precision,P,shape,status,fused_engaged,t_cold_s,mem_gb,t_near_ms,t_life_ms,t_life_serial_ms,t_update_ms,vel_rel_rms,n_leaves,n_u,route_uploads,operator_uploads,expansion_host_copies,route_flat,operator_flat
13193508,cube,100000,64,Float32,4,fused_packed,ok,true,1.123,2.062,0.4021,1.604,2.015,1.401,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float64,4,pairs,ok,false,10.189,2.156,0.6979,2.242,2.421,1.589,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float64,4,fused_cta,ok,true,0.125,2.125,1.2346,2.37,2.933,1.559,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float64,4,fused_srclanes,ok,true,0.122,2.125,1.0147,2.427,2.736,1.552,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,100000,64,Float64,4,fused_packed,ok,true,0.122,2.125,0.7602,2.113,2.48,1.58,4.634e-04,4096,199480,2,4,0,true,true
13193508,cube,1000000,64,Float32,4,pairs,ok,false,1.737,4.812,4.4305,11.644,11.912,7.552,3.580e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float32,4,fused_cta,ok,true,1.626,4.875,4.9396,11.76,12.4,7.293,3.580e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float32,4,fused_srclanes,ok,true,1.646,4.875,7.4955,14.566,14.969,7.303,3.580e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float32,4,fused_packed,ok,true,1.679,4.875,3.2533,10.375,10.746,7.475,3.580e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float64,4,pairs,ok,false,0.317,5.156,12.318,21.676,22.14,10.074,3.579e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float64,4,fused_cta,ok,true,0.338,5.188,11.2522,20.085,21.1,8.911,3.579e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float64,4,fused_srclanes,ok,true,0.323,5.188,12.1209,21.398,21.977,12.339,3.579e-04,32686,1725270,2,4,0,true,true
13193508,cube,1000000,64,Float64,4,fused_packed,ok,true,0.317,5.188,6.5528,15.792,16.354,12.07,3.579e-04,32686,1725270,2,4,0,true,true
13193508,wake,100000,256,Float32,4,pairs,ok,false,1.236,1.906,0.885,2.68,3.19,1.466,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float32,4,fused_cta,ok,true,1.193,1.906,2.1656,2.996,4.383,1.453,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float32,4,fused_srclanes,ok,true,1.209,1.906,2.4248,3.544,4.721,1.499,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float32,4,fused_packed,ok,true,1.223,1.906,1.3423,2.87,3.66,1.485,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float64,4,pairs,ok,false,0.113,2.0,1.7875,6.274,6.812,1.563,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float64,4,fused_cta,ok,true,0.113,2.0,4.4335,6.767,9.524,1.554,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float64,4,fused_srclanes,ok,true,0.113,2.0,3.682,7.318,8.733,1.585,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,100000,256,Float64,4,fused_packed,ok,true,0.112,2.0,2.6617,6.217,7.752,1.549,5.621e-04,1225,52195,2,4,0,true,true
13193508,wake,1000000,256,Float32,4,pairs,ok,false,1.979,2.875,11.0949,18.953,19.507,9.583,6.887e-04,8227,413111,2,4,0,true,true
13193508,wake,1000000,256,Float32,4,fused_cta,ok,true,1.683,2.875,13.1807,20.051,21.559,8.301,6.887e-04,8227,413111,2,4,0,true,true
