label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat
c6_reg_auto_f32,13134906,m13h-1-1,cube,1000000,regularized,Float32,4,16,uniform,concat,256,default,ok,,427.125,426.423,0.369,0.694,425.311,0.565,0.186,,,,,,,,,,,,7.1862e-04,4.4019e-06,1.8915e-03,true,2744,3329,2291816,506224,4096,,,0.5,40564,2.67,true
c6_p_e4q8_f32,13134906,m13h-1-1,cube,1000000,partitioned,Float32,4,8,uniform,concat,256,default,ok,,148.269,147.926,0.372,1.27,146.597,0.563,-0.532,,,,,,,,,,,,3.2955e-03,1.3739e-05,8.3866e-03,false,2744,3329,1107016,203392,4096,,,0.22,21632,3.23,true
c6_p_e4q16_f32,13134906,m13h-1-1,cube,1000000,partitioned,Float32,4,16,uniform,concat,256,default,ok,,299.409,298.691,0.371,1.278,297.559,0.562,-0.361,,27.485,1.179,21.905,1.177,277.655,0.688,0.0,0.0,126.714,0.003,7.2330e-04,4.3927e-06,1.9164e-03,true,2744,3329,2291816,506224,4096,1 8 64 512 2744,272 173536 2118008,0.38,40564,3.29,true
c6_p_e5q14_f32,13134906,m13h-1-1,cube,1000000,partitioned,Float32,5,14,uniform,concat,256,default,ok,,298.525,298.247,0.369,0.897,296.79,0.562,-0.093,,4.944,1.365,188.976,1.368,105.44,0.684,0.0,0.0,99.048,0.003,1.3008e-03,6.5304e-06,6.3392e-03,false,21950,25279,29206620,4693646,32768,1 8 64 512 2744 21950,272 175072 2081096 26950180,0.4,240228,4.07,true
c6_p_e5q16_f32,13134906,m13h-1-1,cube,1000000,partitioned,Float32,5,16,uniform,concat,256,default,ok,,302.933,302.405,0.37,0.9,301.018,0.564,0.081,,,,,,,,,,,,1.2657e-03,5.8734e-06,6.1955e-03,false,21950,25279,29881656,4806530,32768,,,0.4,250308,4.89,true
c6_p_e5q16_f64,13134906,m13h-1-1,cube,1000000,partitioned,Float64,5,16,uniform,concat,256,default,ok,,495.165,494.791,0.369,1.05,492.918,0.856,-0.028,,,,,,,,,,,,1.2658e-03,5.8724e-06,6.1955e-03,false,21950,25279,29881656,4806530,32768,,,0.64,251368,5.42,true
w6_reg_auto_f32,13134906,m13h-1-1,wake,1000000,regularized,Float32,6,16,uniform,concat,256,default,ok,,282.802,282.337,0.369,0.67,281.905,0.568,-0.711,,,,,,,,,,,,4.9158e-04,5.6371e-05,4.9263e-03,true,6048,7169,5181864,1142760,262144,,,0.6,78284,10.01,true
w6_p_e5q8_f32,13134906,m13h-1-1,wake,1000000,partitioned,Float32,5,8,uniform,concat,256,default,ok,,412.727,408.209,0.37,1.302,410.263,0.561,0.231,,,,,,,,,,,,1.4784e-03,1.6004e-04,9.2244e-03,false,896,1121,176056,54648,32768,,,0.47,13280,9.7,true
w6_p_e5q12_f32,13134906,m13h-1-1,wake,1000000,partitioned,Float32,5,12,uniform,concat,256,default,ok,,597.921,594.343,0.37,1.309,598.08,0.563,-2.4,,106.95,1.336,8.018,1.323,590.403,0.695,0.0,0.0,3.129,0.003,6.7155e-04,5.8848e-05,5.1338e-03,true,896,1121,227840,92592,32768,1 8 16 32 168 896,0 320 10608 216912,0.67,16572,4.57,true
w6_p_e5q16_f32,13134906,m13h-1-1,wake,1000000,partitioned,Float32,5,16,uniform,concat,256,default,ok,,722.359,716.739,0.371,1.316,719.802,0.563,0.307,,,,,,,,,,,,4.5844e-04,4.2018e-05,3.7011e-03,true,896,1121,240464,121104,32768,,,0.79,19620,4.79,true
w6_p_e6q12_f32,13134906,m13h-1-1,wake,1000000,partitioned,Float32,6,12,uniform,concat,256,default,ok,,168.118,164.571,0.368,1.007,166.572,0.561,-0.39,,,,,,,,,,,,7.0204e-04,7.2281e-05,6.3301e-03,true,6048,7169,4089528,828040,262144,,,0.36,58632,10.2,true
