host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,false,2000,precomputed_candidate,33068,209,1378,158.2200956937799,1584,48,13.391395,2057760,7732096,24.210835,8768,57.109823999999996,25248,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,factored_023a,24680,1368,42,18.04093567251462,1368,42,14.608192,27138024,1298592,111.95010099999999,1808,149.76798599999998,25552,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_scalar,24680,181,716,136.353591160221,1368,42,10.166643,4338304,8088000,53.564328,13488,90.985529,37488,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_gemm,24680,181,716,136.353591160221,1368,42,11.474131,4338304,8088000,46.097421,13488,83.750217,37488,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_production,24680,181,716,136.353591160221,1368,42,15.286848,4338304,8088000,46.037649,13488,83.521556,37488,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,11.965806,4338304,8088000,46.015465999999996,13488,83.536215,37488,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,9.672564,4338304,8088000,46.097632,13488,83.491951,37488,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,11.626667,4338304,8088000,47.424966999999995,13488,83.755616,37488,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,4,true,2000,precomputed_candidate,24680,181,716,136.353591160221,1368,42,13.491634,4338304,8088000,46.420779,13488,83.55248499999999,37488,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,false,2000,factored_023a,183930,3124,245,58.87644046094751,3124,245,52.917683,72364360,1380512,1039.1895570000001,1808,1076.88352,18032,16,16
