host,gpu,variant,precision,P,lh,n,ell,fit,note,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,dense_operator_bytes,dense_persistent_bytes,dense_estimated_peak_bytes,chunk,whole_pass,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-2,NVIDIA H200,dense_perclass,Float32,8,false,2000,3,true,,177990,65059,3122,237,57.011531069827036,24413.248776,134217728,236978176,81986256,93664160,93664160,16384,false,1.2775679351761937,0.6261760136112571,99.42828863859177,0.602623971644789,1.4845760306343436,24976,103.861616,11152704,5.929012983352244e-8,1.201786264032334e-5
m13h-1-2,NVIDIA H200,concat,Float64,8,true,2000,3,true,,185284,67725,0,0,0.0,16.063152,2516582400,2585788416,0,0,0,16384,true,2.3085440043359995,1.349344034679234,6.482271943241358,1.3210239121690392,3.5828480031341314,320,14.427980999999999,2019408,NaN,1.0606913408359175e-8
m13h-1-2,NVIDIA H200,factored,Float64,8,true,2000,3,true,,185284,67725,3124,247,59.309859154929576,14.950597,167772160,236978176,0,0,0,16384,true,2.311872085556388,1.3499200576916337,6.058047991245985,1.330047962255776,3.5847038961946964,0,14.048778,2038336,NaN,1.060691341529807e-8
m13h-1-2,NVIDIA H200,precomputed_y,Float64,8,true,2000,3,true,,185284,67725,3124,247,59.309859154929576,41.995359,201326592,270532608,0,0,0,16384,true,2.3116478696465492,1.3503680238500237,3.5032001323997974,1.329759950749576,3.586208214983344,0,11.528030999999999,2004688,NaN,1.0606913411828622e-8
m13h-1-2,NVIDIA H200,dense,Float64,8,true,2000,3,true,,185284,67725,3124,247,59.309859154929576,6991.531332,905969664,1042284544,818762912,867272048,867272048,16384,true,2.310591982677579,1.34694401640445,76.94822549819946,1.3888960238546133,3.582528093829751,50160,86.597566,6889248,NaN,1.0606913408359175e-8
m13h-1-2,NVIDIA H200,dense_perclass,Float64,8,true,2000,3,true,,185284,67725,3124,247,59.309859154929576,6988.148131,905969664,1042284544,818762912,867272048,867272048,16384,false,2.3117440287023783,1.3372800312936306,109.0383380651474,1.3967360137030482,3.5881600342690945,49984,118.015625,12448064,NaN,1.0606913401420281e-8
m13h-1-2,NVIDIA H200,dense,Float32,8,true,2000,3,true,,185284,67725,3124,247,59.309859154929576,78553.814938,469762048,572522496,409381456,434166560,434166560,16384,true,1.5080960001796484,1.388128031976521,79.77225631475449,1.348351943306625,2.5604479014873505,25080,84.898943,6880640,NaN,7.43692693618847e-5
m13h-1-2,NVIDIA H200,dense_perclass,Float32,8,true,2000,3,true,,185284,67725,3124,247,59.309859154929576,78326.656924,469762048,572522496,409381456,434166560,434166560,16384,false,1.5077759744599462,1.389696029946208,108.12819004058838,1.3396480353549123,2.557984087616205,24992,116.341255,12439376,NaN,7.43692693618847e-5
m13h-1-2,NVIDIA H200,concat,Float64,12,false,2000,3,true,,222454,30555,0,0,0.0,30.114896,2013265920,2082471936,0,0,0,16384,true,7.639808114618063,0.6285120034590364,8.689887821674347,0.6120320176705718,7.91238434612751,160,25.910565,1700000,3.571014317582666e-11,5.377662440353426e-9
m13h-1-2,NVIDIA H200,factored,Float64,12,false,2000,3,true,,222454,30555,3282,310,67.78001218769043,38.260879,167772160,236978176,0,0,0,16384,true,7.640927564352751,0.6292480393312871,6.514783948659897,0.6157759926281869,7.907680235803127,0,23.815496,1667264,3.5710170931402274e-11,5.377662426475638e-9
m13h-1-2,NVIDIA H200,precomputed_y,Float64,12,false,2000,3,true,,222454,30555,3282,310,67.78001218769043,115.132461,201326592,270532608,0,0,0,16384,true,7.639552000910044,0.6268159486353397,3.367520170286298,0.6180480122566223,7.908063940703869,0,20.661039,1650320,3.571014317582666e-11,5.377662468109001e-9
m13h-1-2,NVIDIA H200,dense,Float64,12,false,2000,3,true,,222454,30555,3282,310,67.78001218769043,10929.900341,838860800,941621248,749897616,795261656,795261656,16384,true,7.640543859452009,0.616384029854089,79.61392402648926,0.6140479817986488,7.909728214144707,52720,93.300989,6949504,3.5710170931402274e-11,5.377662370964487e-9
m13h-1-2,NVIDIA H200,dense_perclass,Float64,12,false,2000,3,true,,222454,30555,3282,310,67.78001218769043,10915.358074,838860800,941621248,749897616,795261656,795261656,16384,false,7.6397438533604145,0.6194239831529558,107.97971487045288,0.6248319987207651,7.916703820228577,52512,120.05837799999999,11738784,3.5710170931402274e-11,5.377662370964487e-9
m13h-1-2,NVIDIA H200,dense,Float32,12,false,2000,3,true,,222454,30555,3282,310,67.78001218769043,151837.273702,436207616,538968064,374948808,398161680,398161680,16384,true,5.189119838178158,0.7251840434037149,83.69757235050201,0.6520960014313459,5.763232242316008,26360,90.547319,6944592,NaN,NaN
m13h-1-2,NVIDIA H200,dense_perclass,Float32,12,false,2000,3,true,,222454,30555,3282,310,67.78001218769043,151735.897398,436207616,538968064,374948808,398161680,398161680,16384,false,5.190464202314615,0.7259839912876487,110.09404808282852,0.6494720000773668,5.766176152974367,26256,121.941159,11733872,NaN,NaN
m13h-1-2,NVIDIA H200,concat,Float64,12,true,2000,3,true,,203136,36964,0,0,0.0,46.294247,5033164800,5102370816,0,0,0,16384,true,7.007712032645941,1.3575040502473712,16.379840672016144,1.3445119839161634,9.870752692222595,320,35.468520000000005,2104432,NaN,1.864607392099149e-9
m13h-1-2,NVIDIA H200,factored,Float64,12,true,2000,3,true,,203136,36964,3246,262,62.58040665434381,52.704859,335544320,404750336,0,0,0,16384,true,7.025407627224922,1.3576640048995614,14.086175709962845,1.3408639933913946,9.85660869628191,0,33.155423000000006,2145200,NaN,1.864607399038043e-9
m13h-1-2,NVIDIA H200,precomputed_y,Float64,12,true,2000,3,true,,203136,36964,3246,262,62.58040665434381,126.587769,335544320,404750336,0,0,0,16384,true,7.014208007603884,1.3697920367121696,7.839583791792393,1.3513920130208135,9.863648563623428,0,26.977099000000003,2108416,NaN,1.864607399038043e-9
m13h-1-2,NVIDIA H200,dense,Float64,12,true,2000,3,true,,203136,36964,3246,262,62.58040665434381,37608.662281,3623878656,3726639104,3465981600,3562725744,3562725744,16384,true,7.007775828242302,1.3483200455084443,83.04688334465027,1.4024960109964013,9.878687560558319,52128,99.526977,7176800,NaN,1.864607471896429e-9
