case,n,structure,param,pop,count
wake,1000000,uniform,6,90,3
wake,1000000,uniform,6,91,5
wake,1000000,uniform,6,92,7
wake,1000000,uniform,6,93,5
wake,1000000,uniform,6,94,5
wake,1000000,uniform,6,95,6
wake,1000000,uniform,6,96,4
wake,1000000,uniform,6,97,2
wake,1000000,uniform,6,98,1
wake,1000000,uniform,6,99,3
wake,1000000,uniform,6,101,3
wake,1000000,uniform,6,102,4
wake,1000000,uniform,6,103,8
wake,1000000,uniform,6,104,3
wake,1000000,uniform,6,105,9
wake,1000000,uniform,6,106,9
wake,1000000,uniform,6,107,12
wake,1000000,uniform,6,108,7
wake,1000000,uniform,6,109,12
wake,1000000,uniform,6,110,15
wake,1000000,uniform,6,111,25
wake,1000000,uniform,6,112,20
wake,1000000,uniform,6,113,35
wake,1000000,uniform,6,114,25
wake,1000000,uniform,6,115,49
wake,1000000,uniform,6,116,47
wake,1000000,uniform,6,117,44
wake,1000000,uniform,6,118,64
wake,1000000,uniform,6,119,65
wake,1000000,uniform,6,120,68
wake,1000000,uniform,6,121,82
wake,1000000,uniform,6,122,102
wake,1000000,uniform,6,123,94
wake,1000000,uniform,6,124,88
wake,1000000,uniform,6,125,101
wake,1000000,uniform,6,126,119
wake,1000000,uniform,6,127,142
wake,1000000,uniform,6,128,140
wake,1000000,uniform,6,129,169
wake,1000000,uniform,6,130,165
wake,1000000,uniform,6,131,192
wake,1000000,uniform,6,132,198
wake,1000000,uniform,6,133,192
wake,1000000,uniform,6,134,196
wake,1000000,uniform,6,135,178
wake,1000000,uniform,6,136,216
wake,1000000,uniform,6,137,223
wake,1000000,uniform,6,138,212
wake,1000000,uniform,6,139,213
wake,1000000,uniform,6,140,226
wake,1000000,uniform,6,141,178
wake,1000000,uniform,6,142,178
wake,1000000,uniform,6,143,208
wake,1000000,uniform,6,144,203
wake,1000000,uniform,6,145,193
wake,1000000,uniform,6,146,166
wake,1000000,uniform,6,147,159
wake,1000000,uniform,6,148,168
wake,1000000,uniform,6,149,147
wake,1000000,uniform,6,150,157
wake,1000000,uniform,6,151,127
wake,1000000,uniform,6,152,130
wake,1000000,uniform,6,153,124
wake,1000000,uniform,6,154,110
wake,1000000,uniform,6,155,104
wake,1000000,uniform,6,156,81
wake,1000000,uniform,6,157,69
wake,1000000,uniform,6,158,69
wake,1000000,uniform,6,159,56
wake,1000000,uniform,6,160,46
wake,1000000,uniform,6,161,43
wake,1000000,uniform,6,162,31
wake,1000000,uniform,6,163,23
wake,1000000,uniform,6,164,18
wake,1000000,uniform,6,165,28
wake,1000000,uniform,6,166,24
wake,1000000,uniform,6,167,19
wake,1000000,uniform,6,168,21
wake,1000000,uniform,6,169,16
wake,1000000,uniform,6,170,8
wake,1000000,uniform,6,171,4
wake,1000000,uniform,6,172,6
wake,1000000,uniform,6,173,6
wake,1000000,uniform,6,174,5
wake,1000000,uniform,6,175,1
wake,1000000,uniform,6,176,2
wake,1000000,uniform,6,177,1
wake,1000000,uniform,6,178,2
wake,1000000,uniform,6,179,2
wake,1000000,uniform,6,181,3
wake,1000000,uniform,6,182,2
multiscale100,1000000,adaptive,64,1,599
multiscale100,1000000,adaptive,64,2,773
multiscale100,1000000,adaptive,64,3,985
multiscale100,1000000,adaptive,64,4,1085
multiscale100,1000000,adaptive,64,5,1082
multiscale100,1000000,adaptive,64,6,960
multiscale100,1000000,adaptive,64,7,750
multiscale100,1000000,adaptive,64,8,538
multiscale100,1000000,adaptive,64,9,328
multiscale100,1000000,adaptive,64,10,199
multiscale100,1000000,adaptive,64,11,194
multiscale100,1000000,adaptive,64,12,196
multiscale100,1000000,adaptive,64,13,252
multiscale100,1000000,adaptive,64,14,428
multiscale100,1000000,adaptive,64,15,579
multiscale100,1000000,adaptive,64,16,843
multiscale100,1000000,adaptive,64,17,1147
multiscale100,1000000,adaptive,64,18,1373
multiscale100,1000000,adaptive,64,19,1825
multiscale100,1000000,adaptive,64,20,2021
multiscale100,1000000,adaptive,64,21,2186
multiscale100,1000000,adaptive,64,22,2312
multiscale100,1000000,adaptive,64,23,2223
multiscale100,1000000,adaptive,64,24,2186
multiscale100,1000000,adaptive,64,25,2213
multiscale100,1000000,adaptive,64,26,1893
multiscale100,1000000,adaptive,64,27,1617
multiscale100,1000000,adaptive,64,28,1531
multiscale100,1000000,adaptive,64,29,1277
multiscale100,1000000,adaptive,64,30,1103
