case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,1.000,uj,133,1.399961080e-03,5.384953849e-01
rotor,self,1.000,uj,134,1.295640731e-03,3.688614523e-01
rotor,self,1.000,uj,135,1.184750531e-03,3.648022969e-01
rotor,self,1.000,uj,136,1.088499380e-03,3.253699504e-01
rotor,self,1.000,uj,137,9.843631240e-04,3.231745201e-01
rotor,self,1.000,uj,138,8.736976309e-04,3.154183472e-01
rotor,self,1.000,uj,139,7.499995823e-04,3.117344734e-01
rotor,self,1.000,uj,140,6.351018795e-04,2.774900092e-01
rotor,self,1.000,uj,141,4.953768026e-04,2.764516918e-01
rotor,self,1.000,uj,142,3.588257532e-04,2.375630208e-01
rotor,self,1.000,uj,143,2.431206370e-04,1.835718453e-01
rotor,self,1.000,uj,144,0.000000000e+00,1.691113318e-01
rotor,self,6.000,u,1,9.855381534e-01,5.893480927e+01
rotor,self,6.000,u,2,9.709893123e-01,5.867837319e+01
rotor,self,6.000,u,3,9.568115115e-01,5.749848527e+01
rotor,self,6.000,u,4,9.425969061e-01,5.714753115e+01
rotor,self,6.000,u,5,9.282090557e-01,5.706019058e+01
rotor,self,6.000,u,6,9.137456402e-01,5.676698027e+01
rotor,self,6.000,u,7,8.995767326e-01,5.574765232e+01
rotor,self,6.000,u,8,8.852948252e-01,5.552869683e+01
rotor,self,6.000,u,9,8.710209269e-01,5.506726237e+01
rotor,self,6.000,u,10,8.567898956e-01,5.453648847e+01
rotor,self,6.000,u,11,8.426319023e-01,5.394762528e+01
rotor,self,6.000,u,12,8.285250330e-01,5.340043911e+01
rotor,self,6.000,u,13,8.144966894e-01,5.280143669e+01
rotor,self,6.000,u,14,8.007562720e-01,5.181328449e+01
rotor,self,6.000,u,15,7.872572369e-01,5.092128445e+01
rotor,self,6.000,u,16,7.736061983e-01,5.076754812e+01
rotor,self,6.000,u,17,7.600609490e-01,5.012795043e+01
rotor,self,6.000,u,18,7.464088478e-01,4.987706084e+01
rotor,self,6.000,u,19,7.325334381e-01,4.982179947e+01
rotor,self,6.000,u,20,7.184343797e-01,4.974447291e+01
rotor,self,6.000,u,21,7.041392994e-01,4.959656208e+01
rotor,self,6.000,u,22,6.896509885e-01,4.942292960e+01
rotor,self,6.000,u,23,6.748733442e-01,4.938716935e+01
rotor,self,6.000,u,24,6.598239678e-01,4.929144323e+01
rotor,self,6.000,u,25,6.444465066e-01,4.925462767e+01
rotor,self,6.000,u,26,6.287662524e-01,4.914144580e+01
rotor,self,6.000,u,27,6.127238394e-01,4.908257795e+01
rotor,self,6.000,u,28,5.965549052e-01,4.863229838e+01
rotor,self,6.000,u,29,5.799868381e-01,4.855796548e+01
rotor,self,6.000,u,30,5.629423775e-01,4.854250539e+01
rotor,self,6.000,u,31,5.454925157e-01,4.836954247e+01
rotor,self,6.000,u,32,5.277020384e-01,4.805669710e+01
rotor,self,6.000,u,33,5.103185323e-01,4.671889435e+01
rotor,self,6.000,u,34,4.925594371e-01,4.641467904e+01
rotor,self,6.000,u,35,4.743015090e-01,4.620922078e+01
rotor,self,6.000,u,36,4.562915382e-01,4.502537042e+01
rotor,self,6.000,u,37,4.381972224e-01,4.424655029e+01
rotor,self,6.000,u,38,4.196136486e-01,4.391180409e+01
rotor,self,6.000,u,39,4.007682776e-01,4.324453952e+01
rotor,self,6.000,u,40,3.810876650e-01,4.314232699e+01
rotor,self,6.000,u,41,3.620157072e-01,4.140408052e+01
rotor,self,6.000,u,42,3.423730068e-01,4.090983042e+01
rotor,self,6.000,u,43,3.255143772e-01,3.690486697e+01
rotor,self,6.000,u,44,3.097365524e-01,3.481906527e+01
rotor,self,6.000,u,45,2.955155894e-01,3.226662635e+01
rotor,self,6.000,u,46,2.814458205e-01,3.133558115e+01
rotor,self,6.000,u,47,2.670139096e-01,3.094248441e+01
rotor,self,6.000,u,48,2.527746078e-01,2.992117046e+01
rotor,self,6.000,u,49,2.378168985e-01,2.979294572e+01
rotor,self,6.000,u,50,2.236432539e-01,2.812734631e+01
